20000001	juice content percentage	Indicates, with reference to the product branding, labelling or packaging, the descriptive term that is used by the product manufacturer to identify the proportion of pure fruit or vegetable juice contained within the product, measured in a range as a percentage of the product's total volume. (GPC attType)
20000002	added ingredient	Indicates, with reference to the product branding, labelling or packaging, the descriptive term that is used by the product manufacturer to identify one or more specific added ingredients. (GPC attType)
20000003	age of product	Indicates, with reference to the product branding, labelling or packaging, the quantitative term that is used by the product manufacturer to identify the precise number of years that the product has been aged prior to being offered for sale. (GPC attType)
20000004	type of alcohol making kit	Indicates, with reference to the product branding, labelling or packaging the descriptive term that is used by the product manufacturer to identify a particular type or variety of alcohol making kit. (GPC attType)
20000005	type of alcohol making supply	Indicates, with reference to the product branding, labelling or packaging the descriptive term that is used by the product manufacturer to identify a particular ingredient or piece of equipment used in the production of alcohol at home. (GPC attType)
20000006	type of alcoholic pre-mixed drink	Indicates, with reference to the product branding, labelling or packaging the descriptive term that is used by the product manufacturer to identify a particular type of alcoholic pre-mixed drink. (GPC attType)
20000007	type of aquatic invertebrate	Indicates, with reference to the product branding, labelling or packaging the descriptive term that is used by the product manufacturer to identify a particular type or variety of edible aquatic invertebrate. (GPC attType)
20000009	type of aquatic plant	Indicates, with reference to the product branding, labelling or packaging the descriptive term that is used by the product manufacturer to identify a particular type or variety of edible aquatic plant. (GPC attType)
20000011	type of baby/infant specialised beverage	Indicates, with reference to the product branding, labelling or packaging, the descriptive term that is used by the product manufacturer to identify the type of specialised baby or infant beverage product. (GPC attType)
20000012	type of baby/infant specialised food	Indicates, with reference to the product branding, labelling or packaging, the descriptive term that is used by the product manufacturer to identify the type of specialised baby or infant food product. (GPC attType)
20000013	type of baking/cooking mix	Indicates, with reference to the product branding, labelling or packaging, the descriptive term that is used by the product manufacturer to identify the type of baking/cooking mix. (GPC attType)
20000014	type of baking/cooking supply	Indicates, with reference to the product branding, labelling or packaging, the descriptive term that is used by the product manufacturer to identify the type of a baking supply product. (GPC attType)
20000015	base ingredient	Indicates, with reference to the product branding, labelling or packaging, the descriptive term that is used by the product manufacturer to identify the fundamental ingredient or a chief constituent of a product. (GPC attType)
20000017	type of beer	Indicates, with reference to the product branding, labelling or packaging the descriptive term that is used by the product manufacturer to identify a particular type or variety of beer. (GPC attType)
20000018	type of biscuit/cookie	Indicates, with reference to the product branding, labelling or packaging, the descriptive term that is used by the product manufacturer to identify the type of biscuit or cookie. (GPC attType)
20000020	boneless claim	Indicates, with reference to the product branding, labelling or packaging, the descriptive term that is used by the product manufacturer to identify whether the product makes a specific claim to contain no bones. (GPC attType)
20000021	type of dried bread	Indicates, with reference to the product branding, labelling or packaging, the descriptive term that is used by the product manufacturer to identify the type of dried bread. (GPC attType)
20000024	type of cake	Indicates, with reference to the product branding, labelling or packaging, the descriptive term that is used by the product manufacturer to identify the type of cake. (GPC attType)
20000026	surface coating/filling	Indicates, with reference to the product branding, labelling or packaging, the descriptive term that is used by the product manufacturer to identify whether the outer surface of the product has been coated or filled with a separate ingredient or substance. (GPC attType)
20000027	type of processed cereal	Indicates, with reference to the product branding, labelling or packaging the descriptive term that is used by the product manufacturer to identify the particular type or variety of processed cereal. (GPC attType)
20000028	cereal/grain size/length	Indicates, with reference to the product branding, labelling or packaging the descriptive term that is used by the product manufacturer to identify the size of the cereal/grain. (GPC attType)
20000031	type of cheese	Indicates, with reference to the product branding, labelling or packaging, the descriptive term that is used by the product manufacturer to identify the particular type of cheese. (GPC attType)
20000032	type of chips/crisps or snack	Indicates, with reference to the product branding, labelling or packaging, the descriptive term that is used by the product manufacturer to identify particular types of chips, crisps or snacks. (GPC attType)
20000034	type of chocolate or chocolate/sugar candy combination confectionery	Indicates, with reference to the product branding, labelling or packaging, the descriptive term that is used by the product manufacturer in order to identify the main combined ingredients within the chocolate and/or sugar candy product. (GPC attType)
20000035	type of chutney or relish	Indicates, with reference to the product branding, labelling or packaging, the descriptive term that is used by the product manufacturer to identify the particular type of chutney or relish. (GPC attType)
20000036	cider/perry	Indicates, with reference to the product branding, labelling or packaging, the descriptive term that is used by the manufacturer to identify whether the product is a cider or a Perry. (GPC attType)
20000037	cigar style	Indicates, with reference to the product branding, labelling or packaging the descriptive term that is used by the product manufacturer to identify the style of the cigar. (GPC attType)
20000038	format of cigar	Indicates, with reference to the product branding, labelling or packaging the descriptive term that is used by the product manufacturer to identify a particular format or variety of cigar. (GPC attType)
20000043	variety of ready to drink coffee or coffee substitute	Indicates, with reference to the product branding, labelling or packaging, the descriptive term that is used by the product manufacturer to identify the particular variety of ready to drink coffee and coffee substitutes. (GPC attType)
20000044	type of confectionery based spread	Indicates, with reference to the product branding, labelling or packaging, the descriptive term that is used by the manufacturer to identify the type of a confectionery based spread. (GPC attType)
20000045	consumer lifestage	Indicates, with reference to the product branding, labelling or packaging, the descriptive term that is used by the product manufacturer to identify the period or stage in the consumer's life during which the product is considered to be suitable. (GPC attType)
20000046	variety of sauces - cooking	Indicates, with reference to the product branding, labelling or packaging the descriptive term that is used by the product manufacturer to identify a particular variety of cooking sauce. (GPC attType)
20000047	type of cooking wine	Indicates, with reference to the product branding, labelling or packaging the descriptive term that is used by the product manufacturer to identify a particular type or variety of cooking wine. (GPC attType)
20000049	type of cream	Indicates, with reference to the product branding, labelling or packaging, the descriptive term that is used by the product manufacturer to identify a particular type of cream. (GPC attType)
20000050	type of dessert sauce/topping/filling	Indicates, with reference to the product branding, labelling or packaging, the descriptive term that is used by the product manufacturer to identify a particular type of dessert topping/filling or sauce. (GPC attType)
20000053	type of dessert	Indicates, with reference to the product branding, labelling or packaging, the descriptive term that is used by the product manufacturer to identify a particular type of dessert. (GPC attType)
20000056	diabetic claim	Indicates, with reference to the product branding, labelling or packaging, whether the product makes a claim to be suitable for consumption by consumers who have diabetes. (GPC attType)
