70000000	arts/crafts/needlework	 (GPC segment)
70010000	arts/crafts/needlework supply	 (GPC family)
70010100	artists painting/drawing supply	 (GPC class)
10001682	artists accessory	Includes any products that can be described/observed as an item designed to aid the artistic painting process. Includes products such as Brush Cases, Easel Bags and Canvas Frames. Excludes products such as Artists Paints, Brushes, Easels and Palettes. (GPC brick)
10001674	artists brushes/applicator	Includes any products that can be described/observed as a device consisting of bristles or a piece of sponge-like material fastened to a handle and used by an artist to apply paint onto a surface such as paper or canvas. Includes products such as Artists Brushes, Applicators and Painting Knives. Specifically excludes Household Paint Brushes classified in DIY. Excludes products such as Airbrushes and Sculpting Applicators. (GPC brick)
10001679	artists canvas/pre-primed board	Includes any products that can be described/observed as a surface used by an artist for painting, which may or may not be covered with a fabric such as canvas or hessian. Includes products such as Artists Stretched Canvas, Canvas Roll and Pre-Primed Boards. Excludes products such as Artists Palettes and Artists Surface Agents. (GPC brick)
10005372	artists drawing board	Includes any products that can be described/observed as a board used by an artist or designer for drawing upon. Includes products such as a portable desktop drawing board and a freestanding drawing board designed with fold-away legs. Excludes products such as artists canvasses or pre-primed boards used for painting upon and presentation boards classified in Stationery. (GPC brick)
10001681	artists easel	Includes any products that can be described/observed as an upright frame for displaying or supporting an artist's canvas or board. Includes products such as Free-Standing and Table-Top Easels. Excludes products such as Frames and Stationery Flip Chart Stands. (GPC brick)
10001678	artists painting surface agent	Includes any products that can be described/observed as a substance used by artists, which is applied to the painting surface as a pre-paint preparation or post-paint treatment. Includes products such as Artists Canvas Primer, Picture Varnish, Artists Gum Arabic and Artists Paint Lifting Preparation. Specifically excludes all types of Paints classified in DIY. Excludes products such as Artists Paints and Dyes. (GPC brick)
10001685	artists painting/drawing supply	Includes any products that may be described/observed as Artists Painting/Drawing Supplies products, where the user of the schema is not able to classify the products in existing bricks within the schema. Excludes all currently classified Artists Painting/Drawing Supplies. Other (GPC brick)
10001684	artists painting/drawing supply	Includes any products that can be described/observed as two or more distinct Artists Painting/Drawing Supplies products sold together, which exist within the schema belonging to different bricks but to the same class, that is, two or more products contained within the same pack, which cross bricks within the Artists Painting/Drawing Supplies class. Includes products such as Brushes sold with Brush Holders. Items received free with purchases should be removed from the classification decision-making process. Excludes products such as Paintbrushes sold with Pens and Pencils classified in the Stationery segment. Variety Packs (GPC brick)
10001676	artists paints/dye	Includes any products that can be described/ observed as a combination of pigments, thinners and oils, used in effecting an artistic painting. Specifically excludes Surface Agents used to treat, prepare or protect materials such as Varnishes and Primers. Excludes products such as Paints classified in DIY. (GPC brick)
10001680	artists palette	Includes any products that can be described/observed as a board, which an artist can hold while painting and on which colours are mixed. Excludes products such as Artists Pre-Primed Boards and Easels. (GPC brick)
10001677	artists pastels/charcoal/crayon	Includes any products that can be described/observed as a piece of calcite, carbonaceous or wax material used for drawing and artistic colouring. Includes products such as Artists Chalk Pastels, Artists Charcoal and Artists Wax Crayons. Excludes products such as Stationery Pencils, Pens and Charcoal for burning. (GPC brick)
10001683	sand art supply	Includes any products that can be described/observed as an item or substance used in sand art and craft activities. Includes products such as Sculpting Sand and Sand Bottles. Excludes products such as Sand classified in DIY Building Materials. (GPC brick)
70010200	airbrushing supply	 (GPC class)
10001686	airbrush (powered)	Includes any products that can be described/observed as a powered machine that scatters paint using air pressure and which is used for design illustrations, fine art and delicate fine spray applications. The machine comprises of a compression or propulsion device to scatter the paint. Specifically excludes Spray Paint and Aerosols. Excludes Airbrushing Replacement Parts and Accessories such as Airbrush Control Valves and Airbrush Hoses. (GPC brick)
10001688	airbrushing equipment - replacement parts/accessory	Includes any products that can be described/observed as a replacement part/accessory for airbrushing equipment. Includes products such as Airbrush Control Valves and Airbrush Hoses. Excludes products such as complete Airbrushes. (GPC brick)
10001690	airbrushing supply	Includes any products that may be described/observed as Airbrushing Supplies products, where the user of the schema is not able to classify the products in existing bricks within the schema. Excludes all currently classified Airbrushing Supplies. Other (GPC brick)
10001689	airbrushing supply	Includes any products that can be described/observed as two or more distinct Airbrushing Supplies products sold together, which exist within the schema belonging to different bricks but to the same class, that is, two or more products contained within the same pack, which cross bricks within the Airbrushing Supplies class. Includes products such as Airbrushes sold with a Compressor. Items received free with purchases should be removed from the classification decision-making process. Excludes products such as Airbrushes sold with Paintbrushes. Variety Packs (GPC brick)
70010300	sculptors/pottery craft supply	 (GPC class)
10001694	kiln (powered)	Includes any products that may be described/observed as an oven specifically designed for baking, firing or drying crafted ceramics. Excludes products such as Kitchen Ovens. (GPC brick)
10001696	pottery wheel (non powered)	Includes any products that may be described/observed as a non-powered revolving wheel on which crafted pottery products are formed and shaped. Non-powered pottery wheels are typically foot operated. Excludes products such as powered Pottery Wheels. (GPC brick)
10001695	pottery wheel (powered)	Includes any products that may be described/observed as a powered revolving wheel on which crafted pottery products are formed and shaped. Excludes products such as non-powered Pottery Wheels, which are typically foot operated. (GPC brick)
10001692	sculptors tool (non powered)	Includes any products that may be described/ observed as a non-powered sculptor's tool used in the craft of sculpting. Includes products such as Sculptors' Chisels, Sculptors' Hammers, Clay Guns and Pottery Brushes. Specifically excludes DIY Tools. Excludes products such as powered Sculptors Tools. (GPC brick)
10001693	sculptors tool (powered)	Includes any products that may be described/observed as a powered tool specifically designed to aid the sculpturing craft. Includes products such as Pneumatic Hammers and Pneumatic Grinders. Specifically excludes DIY Tools. Excludes non-powered Sculptors' Tools. (GPC brick)
10001691	sculptors/pottery craft material	Includes any products that may be described/observed as material used to craft sculptures and pottery items. Includes products that may require mixing with water before use. Includes products such as Alabaster, Clay and Marble. Excludes products such as Sculptors' Tools, Kilns and Pottery Wheels. (GPC brick)
10001698	sculptors/pottery craft supply	Includes any products that may be described/observed as Sculptors/Pottery Craft Supplies, where the user of the schema is not able to classify the products in existing bricks within the schema. Excludes all currently classified Sculptors/Pottery Craft Supplies. Other (GPC brick)
10001697	sculptors/pottery craft supply	Includes any products that can be described/observed as two or more distinct Sculptors/Pottery Craft Supplies products sold together, which exist within the schema belonging to different bricks but to the same class, that is, two or more products contained within the same pack, which cross bricks within the Sculptors/Pottery Craft Supplies class. Includes products such as Clay sold with Clay Tools. Items received free with purchases should be removed from the classification decision-making process. Excludes products such as Clay sold with Clay Painting Supplies. Variety Packs (GPC brick)
70010400	needlework/toy making craft supply	 (GPC class)
10005713	foam craft material	Includes any products that may be described/observed as a textile foam material used in needlework and toy making crafts. The product can be cut, shaped or moulded to create picture frames, toys and artwork. Includes products such as foam sheets, artistic foam cut-outs and three-dimensional, moulded foam. Excludes products such as upholstery foam and foam packaging products. (GPC brick)
10001700	lace/ribbons/cords/braid	Includes any products that may be described/observed as textile-based adornments for fabric products, which are used in needlework craft. Excludes products such as Thread, Yarn, Shoe Laces and Decorative Products worn in a person's hair. (GPC brick)
10001714	needlework accessory	Includes any products that can be described/observed as a device designed to enhance needlework craft. Includes products such as Boning/Wiring and Sequins. Excludes products such as Clothing Adornment classified in Clothing and Beads that are classified in Jewellery Craft Supplies. (GPC brick)
10001699	needlework fabrics/textile	Includes any products that may be described/observed as fabrics or textiles used in needlework craft. Includes products such as Silk Fabric, Synthetic/Plastic Fabric, Fur Fabric and Leather Fabric Excludes products such as Ribbons and Yarn as well as Fabric/Textile Furnishings. (GPC brick)
10001710	needlework fastener	Includes any products that may be described/observed as an item designed to hold together layers of fabric when crafting needlework. Includes products such as Buttons, Hooks, Press-Studs, Zips and Velcro Tape. Excludes products such as Adhesives and Decorative Accessories. (GPC brick)
10001702	needlework hand/machine tool	Includes any products that may be described/observed as a tool to enable the craft of needlework by hand or machine. Includes products such as Hand Sewing Needles, Hand Knitting Needles, Sewing Machine Needles, Crochet Hooks and Pins. Excludes Needlework Accessories and any tools for crafts other than needlework. (GPC brick)
10001705	needlework marking equipment	Includes any products that may be described/observed as an item for marking fabric to facilitate needlework craft. Includes products such as Needlework Fabric Marking Pencils and Haberdashery Chalk. Excludes products such as Artists Chalks, Stationery Pens and Markers. (GPC brick)
10001712	needlework storage	Includes any products that may be described/observed as an item specifically designed to store needlework and toy-making materials. Includes products such as Thread Boxes and Needle Cases. Excludes products such as Toy Display Units. (GPC brick)
10001713	needlework template	Includes any products that may be described/observed as pre-printed designs to be followed or copied by the user to create a piece of needlework. These designs may be printed on material to be stitched over, or may be paper patterns used as guides for cutting fabric or could be cut-out fabric shapes that are stitched onto a piece of crafted needlework. Includes products such as Embroidery Templates, Knitting Templates and Paper Clothing Patterns. Excludes products such as computerised Needlework Templates for powered Knitting/Sewing Machines and Weaving Patterns. (GPC brick)
10001701	needlework thread	Includes any products that may be described/observed as a spun cord of twisted fibres, typically of cotton, silk, wool or nylon, specifically designed for needlework craft. Includes products such as Sewing Thread, Embroidery Thread and Tapestry Thread. Excludes products such as Weaving Yarns, Ribbon and Lace. (GPC brick)
10001716	needlework/toy making craft supply	Includes any products that may be described/observed as Needlework/Toy Making Craft Supplies, where the user of the schema is not able to classify the products in existing bricks within the schema. Excludes all currently classified Needlework/Toy Making Craft Supplies. Other (GPC brick)
10001715	needlework/toy making craft supply	Includes any products that can be described/observed as two or more distinct Needlework/Toy Making Craft Supplies sold together, which exist within the schema belonging to different bricks but to the same class, that is, two or more products contained within the same pack, which cross bricks within the Needlework/Toy Making Craft Supplies class. Includes products such as Needles sold with Thread. Items received free with purchases should be removed from the classification decision-making process. Excludes products such as Toy Making Accessories and Doll variety packs. Variety Packs (GPC brick)
10001706	sewing/knitting machinery (non powered)	Includes any products that may be described/observed as a non-powered machine for the craft of sewing or knitting. Excludes products such as powered Sewing/Knitting Machinery. (GPC brick)
10001707	sewing/knitting machinery (powered)	Includes any products that may be described/observed as a powered machine for the craft of sewing or knitting. Includes products such as powered Sewing Machines, Knitting Machines and Overlockers. Excludes products such as non-powered Sewing/Knitting Machinery. (GPC brick)
10001711	toy making accessory	Includes any products that may be described/observed as an accessory that enhances or completes the crafting of a toy. Includes products such as Toy/Doll Eyes and Noses. Excludes products such as Ribbons, Lace, Cord, Braids and Zips. (GPC brick)
70010500	jewellery craft supply	 (GPC class)
10001718	jewellery craft accessory	Includes any products that can be described/observed as an item designed to facilitate the crafting of jewellery. Includes products such as Brooch Fittings and Necklace Fittings. Excludes products such as Beads. (GPC brick)
10001717	jewellery craft material	Includes any products that can be described/observed as the primary ornamental materials used in the craft of making jewellery. Includes products such as Man-Made Beads, Natural Stone Pieces and Mother of Pearl Inlay. Excludes products such as Jewellery Fittings. (GPC brick)
